10/13/2010,261.54,213.25,Central,IL,Office Supplies,Storage & Organization,Small Business
2/20/2012,6.93,4.64,West,WA,Office Supplies,"Scissors, Rulers and Trimmers",Corporate
7/15/2011,2808.08,128.38,West,WA,Furniture,Office Furnishings,Corporate
7/15/2011,1761.4,1748.56,West,WA,Furniture,Tables,Corporate
7/15/2011,160.2335,85.129,West,WA,Technology,Telephones and Communication,Corporate
7/15/2011,140.56,1054.82,South,NC,Technology,Computer Peripherals,Corporate
10/22/2011,288.56,60.72,Central,IA,Office Supplies,Pens & Art Supplies,Corporate
10/22/2011,1892.848,48.987,Central,IA,Technology,Telephones and Communication,Corporate
11/2/2011,2484.7455,657.477,West,OR,Technology,Telephones and Communication,Home Office
3/17/2011,3812.73,1470.3,Central,TX,Technology,Computer Peripherals,Corporate
1/19/2009,108.15,7.57,West,NM,Office Supplies,Pens & Art Supplies,Consumer
6/3/2009,1186.06,511.69,South,NC,Furniture,Office Furnishings,Corporate
6/3/2009,51.53,0.35,South,NC,Office Supplies,Pens & Art Supplies,Corporate
12/17/2010,90.05,2057.166,East,NY,Office Supplies,Rubber Bands,Home Office
12/17/2010,7804.53,107,East,NY,Technology,Telephones and Communication,Home Office
4/16/2009,4158.1235,1228.887,South,AR,Technology,Telephones and Communication,Home Office
1/28/2010,75.57,28.24,West,AZ,Office Supplies,Labels,Consumer
11/18/2012,32.72,22.59,Central,OK,Office Supplies,Paper,Corporate
5/7/2012,461.89,71.75,South,TN,Technology,Office Machines,Corporate
5/7/2012,575.11,356.12,South,TN,Office Supplies,Paper,Corporate
5/7/2012,236.46,134.31,South,TN,Office Supplies,Storage & Organization,Corporate
6/10/2010,192.814,86.196,East,NJ,Technology,Telephones and Communication,Consumer
6/10/2010,4011.65,603.8,East,ME,Furniture,Bookcases,Consumer
4/30/2012,1132.6,310.21,Central,WI,Office Supplies,Storage & Organization,Home Office
10/20/2011,125.85,89.25,East,NY,Technology,Computer Peripherals,Consumer
9/11/2011,567.936,126.093,South,FL,Technology,Telephones and Communication,Consumer
8/7/2010,174.89,37.04,East,NY,Office Supplies,Storage & Organization,Consumer
4/4/2012,329.03,197.25,West,OR,Furniture,Office Furnishings,Corporate
4/4/2012,20.19,13.44,West,OR,Office Supplies,"Scissors, Rulers and Trimmers",Corporate
12/27/2010,1315.74,260.87,West,CA,Office Supplies,Pens & Art Supplies,Home Office
4/6/2011,310.52,33.22,South,FL,Office Supplies,"Scissors, Rulers and Trimmers",Home Office
6/17/2009,184.86,33.95,West,CA,Furniture,Office Furnishings,Corporate
6/17/2009,267.85,149.92,West,CA,Office Supplies,Paper,Corporate
6/17/2009,528.5,65.43,West,CA,Office Supplies,Storage & Organization,Corporate
5/24/2011,126.58,18.27,East,NY,Office Supplies,Pens & Art Supplies,Home Office
5/24/2011,23.7,8.97,East,NY,Office Supplies,Pens & Art Supplies,Home Office
12/28/2010,586.11,3.8165,Central,MN,Furniture,Office Furnishings,Consumer
12/28/2010,599.1,98.44,South,GA,Office Supplies,Binders and Binder Accessories,Consumer
10/26/2010,2029.75,320.37,Central,TX,Office Supplies,Pens & Art Supplies,Corporate
10/26/2010,1118.396,212.333,Central,TX,Technology,Telephones and Communication,Corporate
9/28/2009,689.74,490.84,South,FL,Office Supplies,Appliances,Small Business
12/28/2010,154.35,284.4,East,ME,Office Supplies,Paper,Home Office
12/28/2010,201.36,91.14,East,ME,Office Supplies,Storage & Organization,Home Office
12/28/2010,216.77,55.108,East,NH,Office Supplies,Binders and Binder Accessories,Home Office
6/28/2010,5677.609,1680.786,Central,KS,Technology,Telephones and Communication,Small Business
5/16/2009,136.77,136.252,West,CA,Office Supplies,Binders and Binder Accessories,Corporate
1/5/2009,188.73,32.48,East,NY,Office Supplies,Paper,Home Office
1/12/2012,412.62,175.54,South,SC,Office Supplies,Envelopes,Consumer
10/1/2012,10123.02,457.81,Central,IL,Office Supplies,Appliances,Consumer
10/1/2012,244.57,46.7075,Central,IL,Office Supplies,Binders and Binder Accessories,Consumer
7/15/2010,6375.28,489.02,Central,IA,Office Supplies,Storage & Organization,Home Office
3/18/2012,2634.8555,257.76,Central,MI,Technology,Telephones and Communication,Corporate
3/18/2012,281,291.59,Central,MI,Office Supplies,Paper,Corporate
3/25/2009,108.09,31.24,West,AZ,Office Supplies,Envelopes,Small Business
3/25/2009,55.34,25.76,West,AZ,Office Supplies,Paper,Small Business
3/19/2012,3872.634,667.332,South,NC,Technology,Telephones and Communication,Small Business
10/16/2010,884.1275,178.706,East,ME,Technology,Telephones and Communication,Corporate
6/3/2011,218.27,44.137,East,MD,Office Supplies,Binders and Binder Accessories,Consumer
6/3/2011,100.95,21.3,East,MD,Office Supplies,Rubber Bands,Consumer
12/30/2010,46.94,3.88,West,CA,Office Supplies,Pens & Art Supplies,Home Office
6/13/2009,1239.6315,172.546,Central,TX,Technology,Telephones and Communication,Small Business
9/19/2010,1640.9,269.27,West,ID,Furniture,Bookcases,Corporate
9/19/2010,1235.87,1348.06,West,ID,Technology,Computer Peripherals,Corporate
12/18/2009,3659.66,500.38,West,UT,Furniture,Tables,Corporate
3/2/2012,7666.04,1820.84,West,OR,Furniture,Tables,Corporate
1/24/2011,14.96,1.59,East,OH,Office Supplies,Labels,Corporate
1/24/2011,15.69,0.03,East,OH,Office Supplies,Pens & Art Supplies,Corporate
